iso_code,continent,location,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
BHS,North America,Bahamas,2/2/2022,82247.036,98.258,1884.539,5.039,1.008,0.1296,7.7,tests performed,,,,42.59,396914,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814
BHS,North America,Bahamas,2/3/2022,82335.216,88.18,1884.539,0,1.028,0.1064,9.4,tests performed,,,,42.59,396914,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814
BHS,North America,Bahamas,2/4/2022,82335.216,0,1884.539,0,1.01,0.093,10.8,tests performed,,,,42.59,396914,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814
BHS,North America,Bahamas,2/5/2022,82423.397,88.18,1887.059,2.519,1.035,0.0796,12.6,tests performed,,,,42.59,396914,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814
BHS,North America,Bahamas,2/6/2022,82569.524,146.127,1897.136,10.078,0.998,0.0942,10.6,tests performed,,,,42.59,396914,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814
BHS,North America,Bahamas,2/7/2022,82642.588,73.064,1897.136,0,1.086,0.0795,12.6,tests performed,40.07,38.51,5.04,42.59,396914,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814
BHR,Asia,Bahrain,2/1/2022,218926.44,4674.84,805.356,0,14.709,0.2457,4.1,units unclear,70.03,68.32,53.8,50.93,1748295,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,,2,77.29,0.852
BHR,Asia,Bahrain,2/2/2022,223418.817,4492.377,805.928,0.572,13.963,0.2762,3.6,units unclear,70.05,68.35,53.89,50.93,1748295,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,,2,77.29,0.852
BHR,Asia,Bahrain,2/3/2022,228030.739,4611.922,806.5,0.572,15.359,0.2661,3.8,units unclear,70.09,68.37,53.99,50.93,1748295,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,,2,77.29,0.852
BHR,Asia,Bahrain,2/4/2022,232190.792,4160.053,806.5,0,16.962,0.2439,4.1,units unclear,70.11,68.38,54.03,50.93,1748295,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,,2,77.29,0.852
BHR,Asia,Bahrain,2/5/2022,236442.934,4252.143,807.072,0.572,15.97,0.2627,3.8,units unclear,70.13,68.39,54.07,50.93,1748295,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,,2,77.29,0.852
BHR,Asia,Bahrain,2/6/2022,240852.373,4409.439,807.072,0,14.979,0.2854,3.5,units unclear,70.15,68.43,54.17,50.93,1748295,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,,2,77.29,0.852
